DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,INCOMPLETE
08/13/2020,262,32,3,240.0,
08/14/2020,272,29,4,241.0,
08/15/2020,150,20,7,241.0,
08/16/2020,138,21,3,242.0,
08/17/2020,328,26,6,246.0,
08/18/2020,275,35,2,249.0,
08/19/2020,264,27,3,241.0,
08/20/2020,214,26,6,234.0,
08/21/2020,239,30,3,230.0,
08/22/2020,135,18,4,228.0,
08/23/2020,143,17,4,228.0,6000.0
08/24/2020,278,24,5,221.0,6000.0
08/25/2020,229,29,2,215.0,6000.0
08/26/2020,226,22,2,209.0,6000.0
08/27/2020,103,15,1,193.0,6000.0
08/28/2020,51,3,0,166.0,6000.0
08/29/2020,2,0,0,147.0,6000.0
